0.356465	0.007105	36.888	0.003158
2.8304	0.062372	0.473707	0.004342
7.42378	0.587397	0.476471	0.005132
15.7768	5.2996	0.502919	0.006316
32.8808	30.6777	0.347385	0.004737
22.9022	104.437	0.278303	0.001974
21.8541	976.714	0.339885	0.002368
32.689	7957.35	0.236064	0.003158
42.9574	67263.3	0.16106	0.003553
64.7925	0.000395	0.410546	0.003158
0.601608	0.001974	0.091978	0.000789
2.90106	0.014606	0.091188	0.001185
7.32747	0.144086	0.115269	0.001184
14.6743	1.33743	0.249091	0.001579
41.5982	20.0536	0.313437	0.002763
57.15	104.719	0.33278	0.001974
78.6378	909.955	0.310278	0.002763
108.638	7759.16	2.24024	0.002368
205.065	66755.5	3.07239	0.003158
207.628	0.000395	11.9201	0.003553
